artifact_id,museum_no,designation,publications_key,publications_type,publications_exact_ref,publications_comment,provenience,period,dates,collections,genres,materials,artifact_type,height,thickness,width,weight,elevation,excavation_no,findspot_square,findspot_comments,stratigraphic_level,surface_preservation,condition_description,artifact_preservation,languages,written_in,archive,composite_no,composites,seal_no,seals,accession_no,cdli_comments,artifact_comments,provenience_comments,is_provenience_uncertain,period_comments,is_period_uncertain,artifact_type_comments,is_artifact_type_uncertain,seal_information,is_school_text,alternative_years,external_resources,external_resources_key,genres_comment,genres_uncertain,languages_uncertain,materials_aspect,materials_color,materials_uncertain,retired,has_fragments,is_artifact_fake,redirect_artifact_id,retired_comments
8014,"Sb 02749","MDP 06, 214",Scheil1905MDP6,primary,214,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,,,,,,,,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
8041,"Sb 15097","MDP 06, 244",Scheil1905MDP6,primary,244,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,125.0,20.0,90.0,,,,,,,Fair,,50%,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
8059,"Sb 15113","MDP 06, 266",Scheil1905MDP6,primary,266,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,40.0,17.0,56.0,,,,,,,Good,,fragment,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
8068,"Sb 15121","MDP 06, 275",Scheil1905MDP6,primary,275,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,58.0,18.0,48.0,,,,,,,Fair,,fragment,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
8079,"Sb 15131","MDP 06, 287",Scheil1905MDP6,primary,287,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,58.0,15.0,46.0,,,,,,,Fair,,complete,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
8106,"Sb 15154","MDP 06, 317",Scheil1905MDP6,primary,317,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,78.0,19.0,63.0,,,,,,,Fair,,75%,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
8119,unknown,"MDP 06, 330",Scheil1905MDP6,primary,330,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,,Administrative,clay,tablet,,,,,,,,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
8125,"Sb 15172","MDP 06, 343",Scheil1905MDP6,primary,343,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,49.0,17.0,81.0,,,,,,,Good,,fragment,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
8139,"Sb 15183","MDP 06, 357",Scheil1905MDP6,primary,357,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,72.0,17.0,50.0,,,,,,,Fair,,complete,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
8142,"Sb 06393","MDP 06, 360",Scheil1905MDP6,primary,360,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,70.0,19.0,59.0,,,,,,,Excellent,,complete,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
8152,"Sb 15194","MDP 06, 370",Scheil1905MDP6,primary,370,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,92.0,27.0,62.0,,,,,,,Good,,fragment,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
8156,"Sb 15198","MDP 06, 375",Scheil1905MDP6,primary,375,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,69.0,16.0,50.0,,,,,,,Good,,complete,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
8173,"Sb 15215","MDP 06, 393",Scheil1905MDP6,primary,393,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,58.0,15.0,47.0,,,,,,,Fair,,75%,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
8180,unknown,"MDP 06, 400",Scheil1905MDP6,primary,400,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,,Administrative,clay,tablet,,,,,,,,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
8183,"Sb 15225","MDP 06, 4995",Scheil1905MDP6,primary,4995,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,69.0,16.0,40.0,,,,,,,Fair,,75%,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
8194,"Sb 15238","MDP 06, 5009",Scheil1905MDP6,primary,5009,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,45.0,18.0,64.0,,,,,,,Good,,fragment,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
8203,"Sb 22207","MDP 17, 005",Scheil1923MDP17,primary,5,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,60.0,16.0,46.0,,,,,,,Good,,75%,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
8206,"Sb 22210","MDP 17, 008",Scheil1923MDP17,primary,8,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,53.0,16.0,44.0,,,,,,,Good,,complete,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
8215,"Sb 22215","MDP 17, 017",Scheil1923MDP17,primary,17,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,76.0,19.0,50.0,,,,,,,Good,,complete,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
8224,"Sb 06333","MDP 17, 026",Scheil1923MDP17,primary,26,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,68.0,15.0,43.0,,,,,,,Fair,,complete,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
8234,"Sb 22232","MDP 17, 036",Scheil1923MDP17,primary,36,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",Administrative,clay,tablet,89.0,17.0,58.0,,,,,,,Fair,,75%,undetermined,,,,,,,,,,,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
